Cidade;Unidade;Ano;Mês;Tipo de Copo;Quantidade;;
Monte Carmelo;Campus Monte Carmelo;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;15;;
Monte Carmelo;Campus Monte Carmelo;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Março;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Abril;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Maio;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Junho;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Julho;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Março;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Abril;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Maio;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Junho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Julho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;4;;
Patos de Minas;Campus Patos de Minas;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Março;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Abril;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Maio;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Junho;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Julho;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Patos de Minas;Campus Patos de Minas;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;2;;
Patos de Minas;Campus Patos de Minas;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;75;;
Ituiutaba;Campus Pontal;2023;Março;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Abril;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Maio;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Junho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Julho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;25;;
Ituiutaba;Campus Pontal;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Março;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Abril;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Maio;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Junho;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Julho;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Ituiutaba;Campus Pontal;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;10;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Março;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Abril;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;10;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Maio;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Junho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;10;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Julho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Documentaço e Pesquisa em História;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;10;;
Uberlândia;Centro de Psicologia;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Psicologia;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Psicologia;2023;Março;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Psicologia;2023;Abril;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Psicologia;2023;Maio;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;25;;
Uberlândia;Centro de Psicologia;2023;Junho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;25;;
Uberlândia;Centro de Psicologia;2023;Julho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Psicologia;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Psicologia;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Psicologia;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Psicologia;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Psicologia;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Central de Línguas;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Central de Línguas;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Central de Línguas;2023;Março;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;5;;
Uberlândia;Central de Línguas;2023;Abril;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Central de Línguas;2023;Maio;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Central de Línguas;2023;Junho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Central de Línguas;2023;Julho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Central de Línguas;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Central de Línguas;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Central de Línguas;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Central de Línguas;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Central de Línguas;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;10;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Março;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;20;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Abril;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Maio;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Junho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;5;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Julho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;10;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;5;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;5;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;5;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Março;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Abril;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Maio;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Junho;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;5;;
