Cidade;Unidade;Ano;Mês;Quantidade
Uberlândia;Centro de Tecnologia da Informação e Comunicação;2023;Fevereiro;0
Uberlândia;Centro de Tecnologia da Informação e Comunicação;2023;Março;0
Uberlândia;Centro de Tecnologia da Informação e Comunicação;2023;Abril;10
Uberlândia;Centro de Tecnologia da Informação e Comunicação;2023;Maio;0
Uberlândia;Centro de Tecnologia da Informação e Comunicação;2023;Junho;0
Uberlândia;Centro de Tecnologia da Informação e Comunicação;2023;Julho;0
Uberlândia;Centro de Tecnologia da Informação e Comunicação;2023;Agosto;0
Uberlândia;Centro de Tecnologia da Informação e Comunicação;2023;Setembro;0
Uberlândia;Centro de Tecnologia da Informação e Comunicação;2023;Outubro;0
Uberlândia;Centro de Tecnologia da Informação e Comunicação;2023;Novembro;0
Uberlândia;Centro de Tecnologia da Informação e Comunicação;2023;Dezembro;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Janeiro;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Fevereiro;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Março;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Abril;9
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Maio;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Junho;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Julho;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Agosto;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Setembro;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Outubro;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Novembro;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;2023;Dezembro;0
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Janeiro;0
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Fevereiro;0
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Março;6
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Abril;0
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Maio;0
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Junho;0
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Julho;0
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Agosto;0
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Setembro;0
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Outubro;0
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Novembro;0
Uberlândia;Coordenação da Comissão de Residência Médica;2023;Dezembro;0
