Cidade;Unidade;Ano;Mês;Quantidade;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Janeiro;0;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Fevereiro;0;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Março;1;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Abril;0;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Maio;4;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Junho;3;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Julho;0;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Agosto;0;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Setembro;0;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Outubro;2;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Novembro;0;;
Uberlândia;Coordenaço da Comisso de Residência Médica;2023;Dezembro;0;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Janeiro;0;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Fevereiro;0;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Março;0;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Abril;0;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Maio;0;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Junho;0;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Julho;0;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Agosto;0;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Setembro;0;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Outubro;3;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Novembro;4;;
Uberlândia;Coordenaço da Comisso de Residência Multiprofissional e Uniprofissional em Saúde;2023;Dezembro;0;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Janeiro;0;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Fevereiro;0;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Março;0;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Abril;0;;
