Cidade,Campus/Unidade,Mês,Ano,Quantidade em m³
Monte Carmelo,Cidade Jardim,Outubro,2022,10
Monte Carmelo,Mundo Novo,Outubro,2022,0
Monte Carmelo,Vila Nova,Outubro,2022,0
Patos de Minas,Patos de Minas,Outubro,2022,107
Uberlândia,Educação Física,Outubro,2022,724
Uberlândia,Gloria,Outubro,2022,1317
Uberlândia,Moradia,Outubro,2022,370
Uberlândia,Santa Mônica,Outubro,2022,7213
Uberlândia,Umuarama,Outubro,2022,6297
Uberlândia,Unidades Externas,Outubro,2022,409
Ituiutaba,Centro,Novembro,2022,0
Ituiutaba,FACIP,Novembro,2022,853
Monte Carmelo,Araras,Novembro,2022,521
Monte Carmelo,Boa Vista,Novembro,2022,21
Monte Carmelo,Cidade Jardim,Novembro,2022,7
Monte Carmelo,Mundo Novo,Novembro,2022,0
Monte Carmelo,Vila Nova,Novembro,2022,0
Patos de Minas,Patos de Minas,Novembro,2022,313
Uberlândia,Educação Física,Novembro,2022,2022
Uberlândia,Gloria,Novembro,2022,1338
Uberlândia,Moradia,Novembro,2022,361
Uberlândia,Santa Mônica,Novembro,2022,9774
Uberlândia,Umuarama,Novembro,2022,5395
Uberlândia,Unidades Externas,Novembro,2022,475
Ituiutaba,Centro,Dezembro,2022,0
Ituiutaba,FACIP,Dezembro,2022,551
Monte Carmelo,Araras,Dezembro,2022,699
Monte Carmelo,Boa Vista,Dezembro,2022,21
Monte Carmelo,Cidade Jardim,Dezembro,2022,27
Monte Carmelo,Mundo Novo,Dezembro,2022,0
Monte Carmelo,Vila Nova,Dezembro,2022,0
Patos de Minas,Patos de Minas,Dezembro,2022,209
Uberlândia,Educação Física,Dezembro,2022,933
Uberlândia,Gloria,Dezembro,2022,1267
Uberlândia,Moradia,Dezembro,2022,323
Uberlândia,Santa Mônica,Dezembro,2022,4898
Uberlândia,Umuarama,Dezembro,2022,5334
Uberlândia,Unidades Externas,Dezembro,2022,408
Ituiutaba,Pontal,Janeiro,2023,448
Ituiutaba,Pontal,Fevereiro,2023,488
Ituiutaba,Pontal,Março,2023,947
Ituiutaba,Pontal,Abril,2023,894
Ituiutaba,Pontal,Maio,2023,861
Ituiutaba,Pontal,Junho,2023,1207
Ituiutaba,Pontal,Julho,2023,1145
Ituiutaba,Pontal,Agosto,2023,1033
Ituiutaba,Pontal,Setembro,2023,691
Ituiutaba,Pontal,Outubro,2023,680
Ituiutaba,Pontal,Novembro,2023,629
Ituiutaba,Pontal,Dezembro,2023,633
Monte Carmelo,Araras,Janeiro,2023,439
